welc_resp.keys,welc_resp.rt,instr0_resp.keys,instr0_resp.rt,prep_resp.keys,prep_resp.corr,prep_resp.rt,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,preparation.ran,preparation.order,letter10,letter20,corrAns0,participant,,date,expName,psychopyVersion,frameRate,outro_resp.keys,outro_resp.rt,instr1_resp.keys,instr1_resp.rt,resp.keys,resp.corr,resp.rt,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterMaster.ran,letterMaster.order,letterset,letterset2,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,practice.order,letter1,letter2,corrAns,letterA,letterC,letterE,instr2_resp.keys,instr2_resp.rt,instr3_resp.keys,instr3_resp.rt,test_resp.keys,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,test.order,letter3,letter4,letterA2,letterB2,pickA,avoidB,test_resp.rt,outro_resp2.keys,outro_resp2.rt
space,2.007,space,0.763,c,1,0.489,1,0,10,4,1,9,U,L,c,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,0.244,1,0,10,9,1,9,U,L,m,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.328,1,0,10,5,1,9,U,L,c,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.33,1,0,10,0,1,9,U,L,c,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.344,1,0,10,1,1,9,U,L,c,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,0,0.345,1,0,10,8,1,9,L,U,c,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,0.361,1,0,10,2,1,9,L,U,m,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,0.363,1,0,10,7,1,9,L,U,m,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.343,1,0,10,6,1,9,U,L,c,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,0.329,1,0,10,3,1,9,L,U,m,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,space,0.807,space,0.656,c,1,0.658,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,0,1,179,P,t,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,c,1,0.488,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,12,1,179,f,e,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,c,0,0.576,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,8,1,179,P,t,m,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h01.24.188,Probabilistic Learning,3.1.0,60,,,,,m,0,0.341,1,0,6,2,1,5,hiragana3.xlsx,hiragana31.xlsx,6,0,180,29,1,179,q,T,c,,,m,,,,,,,,,,,,,,,,,,,,
