welc_resp.keys,welc_resp.rt,intr0_resp.keys,intr0_resp.rt,prep_resp.keys,prep_resp.corr,prep_resp.rt,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,preparation.ran,preparation.order,letter10,letter20,corrAns0,Participant ID*,date,expName,psychopyVersion,frameRate,outro_resp.keys,outro_resp.rt,instr1_resp.keys,instr1_resp.rt,resp.keys,resp.corr,resp.rt,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterMaster.ran,letterMaster.order,letterset,letterset2,letterset3,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,practice.order,letter1,letter2,corrAns,letterA,letterC,letterE
space,0.994,space,0.631,c,0,0.361,1,0,10,9,1,9,p1.jpg,p2.jpg,m,111,2019-06-04_22h24.21.641,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.332,1,0,10,5,1,9,p1.jpg,p2.jpg,c,111,2019-06-04_22h24.21.641,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.362,1,0,10,0,1,9,p1.jpg,p2.jpg,c,111,2019-06-04_22h24.21.641,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.329,1,0,10,4,1,9,p1.jpg,p2.jpg,c,111,2019-06-04_22h24.21.641,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,0,0.348,1,0,10,2,1,9,p2.jpg,p1.jpg,m,111,2019-06-04_22h24.21.641,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.414,1,0,10,1,1,9,p1.jpg,p2.jpg,c,111,2019-06-04_22h24.21.641,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,0.331,1,0,10,7,1,9,p2.jpg,p1.jpg,m,111,2019-06-04_22h24.21.641,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,0,0.346,1,0,10,8,1,9,p2.jpg,p1.jpg,c,111,2019-06-04_22h24.21.641,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.348,1,0,10,6,1,9,p1.jpg,p2.jpg,c,111,2019-06-04_22h24.21.641,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,0.279,1,0,10,3,1,9,p2.jpg,p1.jpg,m,111,2019-06-04_22h24.21.641,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,111,2019-06-04_22h24.21.641,Probabilistic Learning,3.1.0,60,space,0.772,space,0.723,c,1,0.432,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,2,1,179,l1.jpg,l2.jpg,c,c,,
,,,,,,,,,,,,,,,,111,2019-06-04_22h24.21.641,Probabilistic Learning,3.1.0,60,,,,,c,0,0.365,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,8,1,179,l1.jpg,l2.jpg,m,c,,
,,,,,,,,,,,,,,,,111,2019-06-04_22h24.21.641,Probabilistic Learning,3.1.0,60,,,,,c,0,0.195,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,5,1,179,l2.jpg,l1.jpg,m,m,,
,,,,,,,,,,,,,,,,111,2019-06-04_22h24.21.641,Probabilistic Learning,3.1.0,60,,,,,m,1,0.215,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,27,1,179,l5.jpg,l6.jpg,m,,,c
,,,,,,,,,,,,,,,,111,2019-06-04_22h24.21.641,Probabilistic Learning,3.1.0,60,,,,,m,1,0.146,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,7,1,179,l2.jpg,l1.jpg,m,m,,
,,,,,,,,,,,,,,,,111,2019-06-04_22h24.21.641,Probabilistic Learning,3.1.0,60,,,,,c,1,0.248,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,1,1,179,l1.jpg,l2.jpg,c,c,,
,,,,,,,,,,,,,,,,111,2019-06-04_22h24.21.641,Probabilistic Learning,3.1.0,60,,,,,c,0,0.198,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,14,1,179,l4.jpg,l3.jpg,m,,m,
,,,,,,,,,,,,,,,,111,2019-06-04_22h24.21.641,Probabilistic Learning,3.1.0,60,,,,,c,0,0.232,1,0,3,0,1,2,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,6,0,180,25,1,179,l6.jpg,l5.jpg,m,,,m
