welc_resp.keys,welc_resp.rt,intr0_resp.keys,intr0_resp.rt,prep_resp.keys,prep_resp.corr,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,preparation.ran,preparation.order,letter10,letter20,corrAns0,Participant ID*,date,expName,psychopyVersion,frameRate,prep_resp.rt,outro_resp.keys,outro_resp.rt,instr1_resp.keys,instr1_resp.rt,resp.keys,resp.corr,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterMaster.ran,letterMaster.order,letterset,letterset2,letterset3,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,practice.order,letter1,letter2,corrAns,letterA,letterC,letterE,resp.rt
return,11.182,return,5.12,,0,1,0,10,1,1,9,p1.jpg,p2.jpg,c,japanese_samurai,2019-06-25_17h16.11.343,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,0,1,0,10,8,1,9,p2.jpg,p1.jpg,c,japanese_samurai,2019-06-25_17h16.11.343,Probabilistic Learning,3.1.0,60,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,1,0,10,2,1,9,p2.jpg,p1.jpg,m,japanese_samurai,2019-06-25_17h16.11.343,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,1,0,10,9,1,9,p1.jpg,p2.jpg,m,japanese_samurai,2019-06-25_17h16.11.343,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,1,0,10,0,1,9,p1.jpg,p2.jpg,c,japanese_samurai,2019-06-25_17h16.11.343,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,1,0,10,3,1,9,p2.jpg,p1.jpg,m,japanese_samurai,2019-06-25_17h16.11.343,Probabilistic Learning,3.1.0,60,0.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,0,1,0,10,5,1,9,p1.jpg,p2.jpg,c,japanese_samurai,2019-06-25_17h16.11.343,Probabilistic Learning,3.1.0,60,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,1,0,10,7,1,9,p2.jpg,p1.jpg,m,japanese_samurai,2019-06-25_17h16.11.343,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,0,1,0,10,6,1,9,p1.jpg,p2.jpg,c,japanese_samurai,2019-06-25_17h16.11.343,Probabilistic Learning,3.1.0,60,0.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,0,1,0,10,4,1,9,p1.jpg,p2.jpg,c,japanese_samurai,2019-06-25_17h16.11.343,Probabilistic Learning,3.1.0,60,0.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,japanese_samurai,2019-06-25_17h16.11.343,Probabilistic Learning,3.1.0,60,,m,5.764,return,47.403,,0,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,14,1,179,l24.jpg,l23.jpg,m,,m,,
,,,,,,,,,,,,,,,japanese_samurai,2019-06-25_17h16.11.343,Probabilistic Learning,3.1.0,60,,,,,,m,1,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,27,1,179,l25.jpg,l26.jpg,m,,,c,0.147
,,,,,,,,,,,,,,,japanese_samurai,2019-06-25_17h16.11.343,Probabilistic Learning,3.1.0,60,,,,,,c,0,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,6,1,179,l22.jpg,l21.jpg,m,m,,,0.544
,,,,,,,,,,,,,,,japanese_samurai,2019-06-25_17h16.11.343,Probabilistic Learning,3.1.0,60,,,,,,m,0,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,28,1,179,l26.jpg,l25.jpg,c,,,m,0.46
,,,,,,,,,,,,,,,japanese_samurai,2019-06-25_17h16.11.343,Probabilistic Learning,3.1.0,60,,,,,,m,1,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,5,1,179,l22.jpg,l21.jpg,m,m,,,0.211
,,,,,,,,,,,,,,,japanese_samurai,2019-06-25_17h16.11.343,Probabilistic Learning,3.1.0,60,,,,,,c,1,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,22,1,179,l25.jpg,l26.jpg,c,,,c,0.213
,,,,,,,,,,,,,,,japanese_samurai,2019-06-25_17h16.11.343,Probabilistic Learning,3.1.0,60,,,,,,c,1,1,0,3,2,1,2,hiragana3.xlsx,hiragana31.xlsx,hiragana32.xlsx,6,0,180,0,1,179,l21.jpg,l22.jpg,c,c,,,0.111
