letter10,letter20,corrAns0,letterset,letterset2,letterset3,letter1,letter2,corrAns,letterA,letterC,letterE,letter3,letter4,letterA2,letterB2,pickA,avoidB,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,text.started,text.stopped,welc_resp.keys,welc_resp.rt,welc_resp.started,welc_resp.stopped,instr1.started,instr1.stopped,intr0_resp.keys,intr0_resp.rt,intr0_resp.started,intr0_resp.stopped,fixation0.started,fixation0.stopped,letter0_1.started,letter0_1.stopped,letter0_2.started,letter0_2.stopped,prep_resp.keys,prep_resp.corr,prep_resp.rt,prep_resp.started,prep_resp.stopped,prep_feedb.started,prep_feedb.stopped,prep_outro.started,prep_outro.stopped,outro_resp.keys,outro_resp.rt,outro_resp.started,outro_resp.stopped,pract_intr.started,pract_intr.stopped,instr1_resp.keys,instr1_resp.rt,instr1_resp.started,instr1_resp.stopped,resp1,resp2,resp3,response1,response2,response3,Corr1,Corr2,Corr3,jitter,myCount1,myCount2,myCount3,myCount,fixation1.started,fixation1.stopped,letter1_1.started,letter1_1.stopped,letter1_2.started,letter1_2.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,blank_feed.started,blank_feed.stopped,feedb.started,feedb.stopped,instr2.started,instr2.stopped,instr2_resp.keys,instr2_resp.rt,instr2_resp.started,instr2_resp.stopped,instr3.started,instr3.stopped,instr3_resp.keys,instr3_resp.rt,instr3_resp.started,instr3_resp.stopped,posLB,negLB,fixation2.started,fixation2.stopped,letter2_1.started,letter2_1.stopped,letter2_2.started,letter2_2.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,check.started,check.stopped,check_resp.keys,check_resp.rt,check_resp.started,check_resp.stopped,participant,,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.84867721493356,None,space,0.5732827812898904,10.84867721493356,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.438236676622182,None,space,0.3343424255726859,11.438236676622182,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
U,L,c,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,11.945076916133985,12.438771928311326,12.455098387785256,None,12.455098387785256,None,c,1,0.8168577082687989,12.455098387785256,None,13.309861460584216,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
U,L,c,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,13.905181421083398,14.405011556926183,14.421601793263108,None,14.421601793263108,None,c,1,0.3169290409423411,14.421601793263108,None,14.755036908201873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
U,L,m,,,,,,,,,,,,,,,,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,15.355370170320384,15.85505610133987,15.871845453395508,None,15.871845453395508,None,c,0,0.30026798509061337,15.871845453395508,None,16.18826900725253,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
L,U,c,,,,,,,,,,,,,,,,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,16.788718762458302,17.288606374990195,17.305068828281946,None,17.305068828281946,None,m,0,0.3345697664190084,17.305068828281946,None,17.65525275375694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
L,U,m,,,,,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,18.255160072585568,18.75522781291511,18.771790337283164,None,18.771790337283164,None,m,1,0.3175130451563746,18.771790337283164,None,19.104957056697458,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
U,L,c,,,,,,,,,,,,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,19.705278002424166,20.205255422275513,20.22243992658332,None,20.22243992658332,None,c,1,0.3337183928815648,20.22243992658332,None,20.571892563719302,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
L,U,m,,,,,,,,,,,,,,,,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,21.17204929026775,21.671959482948296,21.688654409023002,None,21.688654409023002,None,m,1,0.3356479676440358,21.688654409023002,None,22.03990165318828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
U,L,c,,,,,,,,,,,,,,,,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,22.6387210204266,23.138913464732468,23.155490871402435,None,23.155490871402435,None,c,1,0.31698805722407997,23.155490871402435,None,23.488660156726837,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1746,Probabilistic Learning,3.1.0,59.952803593185514,
