letter10,letter20,corrAns0,letterset,letterset2,letterset3,letter1,letter2,corrAns,letterA,letterC,letterE,letter3,letter4,letterA2,letterB2,pickA,avoidB,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,learnt_letters,numbers,question,text.started,text.stopped,welc_resp.keys,welc_resp.rt,welc_resp.started,welc_resp.stopped,instr1.started,instr1.stopped,intr0_resp.keys,intr0_resp.rt,intr0_resp.started,intr0_resp.stopped,fixation0.started,fixation0.stopped,letter0_1.started,letter0_1.stopped,letter0_2.started,letter0_2.stopped,prep_resp.keys,prep_resp.corr,prep_resp.rt,prep_resp.started,prep_resp.stopped,prep_feedb.started,prep_feedb.stopped,prep_outro.started,prep_outro.stopped,outro_resp.keys,outro_resp.rt,outro_resp.started,outro_resp.stopped,pract_intr.started,pract_intr.stopped,instr1_resp.keys,instr1_resp.rt,instr1_resp.started,instr1_resp.stopped,resp1,resp2,resp3,response1,response2,response3,Corr1,Corr2,Corr3,jitter,myCount1,myCount2,myCount3,myCount,fixation1.started,fixation1.stopped,letter1_1.started,letter1_1.stopped,letter1_2.started,letter1_2.stopped,resp.keys,resp.corr,resp.started,resp.stopped,blank_feed.started,blank_feed.stopped,feedb.started,feedb.stopped,resp.rt,instr2.started,instr2.stopped,instr2_resp.keys,instr2_resp.rt,instr2_resp.started,instr2_resp.stopped,instr3.started,instr3.stopped,instr3_resp.keys,instr3_resp.rt,instr3_resp.started,instr3_resp.stopped,posLB,negLB,fixation2.started,fixation2.stopped,letter2_1.started,letter2_1.stopped,letter2_2.started,letter2_2.stopped,test_resp.keys,test_resp.started,test_resp.stopped,check.started,check.stopped,check_resp.keys,check_resp.rt,check_resp.started,check_resp.stopped,participant,,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.827493462129496,None,space,12.051634595962241,11.827493462129496,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1756,Probabilistic Learning,3.1.0,61.47887568136281,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.89434449886903,None,space,0.3843127634609118,23.89434449886903,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1756,Probabilistic Learning,3.1.0,61.47887568136281,
U,L,c,,,,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.37303552881349,24.87774502520915,24.87774502520915,None,24.87774502520915,None,c,1,0.583682470023632,24.87774502520915,None,25.479387421743013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1756,Probabilistic Learning,3.1.0,61.47887568136281,
L,U,m,,,,,,,,,,,,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.07949590892531,26.577728500706144,26.59454402513802,None,26.59454402513802,None,c,0,0.2170812515541911,26.59454402513802,None,26.82879951724317,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1756,Probabilistic Learning,3.1.0,61.47887568136281,
L,U,c,,,,,,,,,,,,,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.42784930439666,27.927848277962767,27.944496504263952,None,27.944496504263952,None,c,1,0.21833906730171293,27.944496504263952,None,28.18188242323231,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1756,Probabilistic Learning,3.1.0,61.47887568136281,
L,U,m,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.777583679999225,29.278250306961127,29.29486004426144,None,29.29486004426144,None,c,0,0.13489420188125223,29.29486004426144,None,29.44462428719271,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1756,Probabilistic Learning,3.1.0,61.47887568136281,
U,L,m,,,,,,,,,,,,,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.045292659080587,30.544732261332683,30.561195741058327,None,30.561195741058327,None,c,0,0.11717341945040971,30.561195741058327,None,30.694666368421167,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1756,Probabilistic Learning,3.1.0,61.47887568136281,
L,U,m,,,,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.29518283752259,31.794831305975094,31.812362723168917,None,31.812362723168917,None,c,0,0.016337749548256397,31.812362723168917,None,31.844722613459453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1756,Probabilistic Learning,3.1.0,61.47887568136281,
U,L,c,,,,,,,,,,,,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.445209317840636,32.944821350160055,32.961445969878696,None,32.961445969878696,None,c,1,0.3005687113618478,32.961445969878696,None,33.27865418337751,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1756,Probabilistic Learning,3.1.0,61.47887568136281,
U,L,c,,,,,,,,,,,,,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.87809142493643,34.378223313367926,34.39477198186796,None,34.39477198186796,None,c,1,0.1503277198644355,34.39477198186796,None,34.561434371978976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1756,Probabilistic Learning,3.1.0,61.47887568136281,
