letter10,letter20,corrAns0,letterset,letterset2,letterset3,learnt_letters,numbers,question,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,welc_resp.keys,welc_resp.rt,welc_resp.started,welc_resp.stopped,instr1.started,instr1.stopped,intr0_resp.keys,intr0_resp.rt,intr0_resp.started,intr0_resp.stopped,fixation0.started,fixation0.stopped,letter0_1.started,letter0_1.stopped,letter0_2.started,letter0_2.stopped,prep_resp.keys,prep_resp.corr,prep_resp.rt,prep_resp.started,prep_resp.stopped,prep_feedb.started,prep_feedb.stopped,prep_outro.started,prep_outro.stopped,outro_resp.keys,outro_resp.rt,outro_resp.started,outro_resp.stopped,quest.started,quest.stopped,letter_string.started,letter_string.stopped,number_string.started,number_string.stopped,learnt_resp.keys,learnt_resp.rt,learnt_resp.started,learnt_resp.stopped,participant,,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,11.625135480775498,None,space,0.5207639678847045,11.625135480775498,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1807,Probabilistic Learning,3.1.0,59.99211849811696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,12.161200564936735,None,space,0.31688234116882086,12.161200564936735,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1807,Probabilistic Learning,3.1.0,59.99211849811696,
U,L,c,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,12.569061323534697,13.061289653880522,13.078017936903052,None,13.078017936903052,None,c,1,0.43383047252427787,13.078017936903052,None,13.529858114779927,None,,,,,,,,,,,,,,,,,,,2019_May_27_1807,Probabilistic Learning,3.1.0,59.99211849811696,
U,L,m,,,,,,,0,1,1,9,,,,,,,,,,,,,,,,,,,,,14.128074489883147,14.628671836922877,14.645377539796755,None,14.645377539796755,None,c,0,0.28517214267048985,14.645377539796755,None,14.946405551512726,None,,,,,,,,,,,,,,,,,,,2019_May_27_1807,Probabilistic Learning,3.1.0,59.99211849811696,
L,U,m,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,15.545102780684829,16.0449436934432,16.061404093983583,None,16.061404093983583,None,m,1,0.33520765509456396,16.061404093983583,None,16.411455617751926,None,,,,,,,,,,,,,,,,,,,2019_May_27_1807,Probabilistic Learning,3.1.0,59.99211849811696,
U,L,c,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,17.011432216502726,17.511554354568943,17.528113286592998,None,17.528113286592998,None,c,1,0.26743083295878023,17.528113286592998,None,17.81170225434471,None,,,,,,,,,,,,,,,,,,,2019_May_27_1807,Probabilistic Learning,3.1.0,59.99211849811696,
U,L,c,,,,,,,0,4,4,6,,,,,,,,,,,,,,,,,,,,,18.411702972836792,18.911666023544967,18.92823111382313,None,18.92823111382313,None,c,1,0.28465382603462785,18.92823111382313,None,19.22837542137131,None,,,,,,,,,,,,,,,,,,,2019_May_27_1807,Probabilistic Learning,3.1.0,59.99211849811696,
U,L,c,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,19.828371007926762,20.328678918769583,20.345022313296795,None,20.345022313296795,None,c,1,0.26682732766494155,20.345022313296795,None,20.62839112477377,None,,,,,,,,,,,,,,,,,,,2019_May_27_1807,Probabilistic Learning,3.1.0,59.99211849811696,
L,U,c,,,,,,,0,6,6,8,,,,,,,,,,,,,,,,,,,,,21.22837593453005,21.7283861982869,21.74513962736819,None,21.74513962736819,None,m,0,0.36678750452119857,21.74513962736819,None,22.12902388162911,None,,,,,,,,,,,,,,,,,,,2019_May_27_1807,Probabilistic Learning,3.1.0,59.99211849811696,
L,U,m,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,22.729410515050404,23.228411857504398,23.245159641606733,None,23.245159641606733,None,m,1,0.3170173086691648,23.245159641606733,None,23.578395127668045,None,,,,,,,,,,,,,,,,,,,2019_May_27_1807,Probabilistic Learning,3.1.0,59.99211849811696,
U,L,c,,,,,,,0,8,8,5,,,,,,,,,,,,,,,,,,,,,24.17856263113208,24.67841278121341,24.69520829152316,None,24.69520829152316,None,m,0,0.33466829790268093,24.69520829152316,None,25.045232616364956,None,,,,,,,,,,,,,,,,,,,2019_May_27_1807,Probabilistic Learning,3.1.0,59.99211849811696,
L,U,m,,,,,,,0,9,9,2,,,,,,,,,,,,,,,,,,,,,25.645300562027842,26.145218452555127,26.162008830928244,None,26.162008830928244,None,m,1,0.31712405115831643,26.162008830928244,None,26.49546960508451,None,,,,,,,,,,,,,,,,,,,2019_May_27_1807,Probabilistic Learning,3.1.0,59.99211849811696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.09531636815518,None,space,0.7672019526362419,27.09531636815518,None,,,,,,,,,,,,,2019_May_27_1807,Probabilistic Learning,3.1.0,59.99211849811696,
,,,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,a O I L d A,1   2   3  4  5   6,Most Probable,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.953286845702678,None,27.953286845702678,None,27.953286845702678,None,2,10.692687014699914,27.953286845702678,None,,,2019_May_27_1807,Probabilistic Learning,3.1.0,59.99211849811696,
