letter10,letter20,corrAns0,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterset,letterset2,letterset3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,learnt_letters,numbers,question,text.started,text.stopped,welc_resp.keys,welc_resp.rt,welc_resp.started,welc_resp.stopped,instr1.started,instr1.stopped,intr0_resp.keys,intr0_resp.rt,intr0_resp.started,intr0_resp.stopped,fixation0.started,fixation0.stopped,letter0_1.started,letter0_1.stopped,letter0_2.started,letter0_2.stopped,prep_resp.keys,prep_resp.corr,prep_resp.rt,prep_resp.started,prep_resp.stopped,prep_feedb.started,prep_feedb.stopped,prep_outro.started,prep_outro.stopped,outro_resp.keys,outro_resp.rt,outro_resp.started,outro_resp.stopped,participant,,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,12.983119301032275,None,space,0.8874929693993181,12.983119301032275,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1809,Probabilistic Learning,3.1.0,60.006897981667784,
,,,,,,,,,,,,,,,,,,,,,,,,,,,13.884893688606098,None,space,0.600832077790983,13.884893688606098,None,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1809,Probabilistic Learning,3.1.0,60.006897981667784,
L,U,c,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,14.576335204066709,15.06856456073001,15.085345188621432,None,15.085345188621432,None,m,0,1.3171158401528373,15.085345188621432,None,16.420374255394563,None,,,,,,,,,2019_May_27_1809,Probabilistic Learning,3.1.0,60.006897981667784,
U,L,c,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,17.01890777866356,17.51865888410248,17.53522910620086,None,17.53522910620086,None,m,0,0.25133787258528173,17.53522910620086,None,17.803141819662414,None,,,,,,,,,2019_May_27_1809,Probabilistic Learning,3.1.0,60.006897981667784,
U,L,c,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,18.402065363363363,18.901985306525603,18.918895256938413,None,18.918895256938413,None,m,0,0.1847382963169366,18.918895256938413,None,19.11878533277195,None,,,,,,,,,2019_May_27_1809,Probabilistic Learning,3.1.0,60.006897981667784,
U,L,c,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,19.718872266239487,20.218963613151573,20.2373510224279,None,20.2373510224279,None,m,0,0.0017361039062961936,20.2373510224279,None,20.25401207827963,None,,,,,,,,,2019_May_27_1809,Probabilistic Learning,3.1.0,60.006897981667784,
L,U,m,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,20.853073155507445,21.352845814661123,21.368876679684035,None,21.368876679684035,None,m,1,0.05051841912791133,21.368876679684035,None,21.435567089705728,None,,,,,,,,,2019_May_27_1809,Probabilistic Learning,3.1.0,60.006897981667784,
U,L,c,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,22.037754488294013,22.535595520050265,22.552289932966232,None,22.552289932966232,None,m,0,0.18350152112543583,22.552289932966232,None,22.752238511806354,None,,,,,,,,,2019_May_27_1809,Probabilistic Learning,3.1.0,60.006897981667784,
L,U,m,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,23.35277653473895,23.853303575422615,23.8689726452576,None,23.8689726452576,None,m,1,0.1338303699158132,23.8689726452576,None,24.018965768511407,None,,,,,,,,,2019_May_27_1809,Probabilistic Learning,3.1.0,60.006897981667784,
L,U,m,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,24.61909786227625,25.119076821720228,25.136111475992948,None,25.136111475992948,None,m,1,0.11864779936149716,25.136111475992948,None,25.26901298156008,None,,,,,,,,,2019_May_27_1809,Probabilistic Learning,3.1.0,60.006897981667784,
U,L,c,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,25.870397759252228,26.369184077368118,26.385953415185213,None,26.385953415185213,None,m,0,0.08362909883726388,26.385953415185213,None,26.4857344905613,None,,,,,,,,,2019_May_27_1809,Probabilistic Learning,3.1.0,60.006897981667784,
U,L,m,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,27.085789606557228,27.586009249673225,27.602628224296495,None,27.602628224296495,None,m,1,0.26700335007626563,27.602628224296495,None,27.885834869462997,None,,,,,,,,,2019_May_27_1809,Probabilistic Learning,3.1.0,60.006897981667784,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.486419079010375,None,space,1.535567808081396,28.486419079010375,None,,,2019_May_27_1809,Probabilistic Learning,3.1.0,60.006897981667784,
