letter10,letter20,corrAns0,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterset,letterset2,letterset3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,learnt_letters,numbers,text.started,text.stopped,welc_resp.keys,welc_resp.rt,welc_resp.started,welc_resp.stopped,instr1.started,instr1.stopped,intr0_resp.keys,intr0_resp.rt,intr0_resp.started,intr0_resp.stopped,fixation0.started,fixation0.stopped,letter0_1.started,letter0_1.stopped,letter0_2.started,letter0_2.stopped,prep_resp.keys,prep_resp.corr,prep_resp.rt,prep_resp.started,prep_resp.stopped,prep_feedb.started,prep_feedb.stopped,prep_outro.started,prep_outro.stopped,outro_resp.keys,outro_resp.rt,outro_resp.started,outro_resp.stopped,participant,,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,10.288740316173062,None,space,0.5992273490410298,10.288740316173062,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1810,Probabilistic Learning,3.1.0,59.487918406586395,
,,,,,,,,,,,,,,,,,,,,,,,,,,10.903402209514752,None,space,0.7177268379600719,10.903402209514752,None,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1810,Probabilistic Learning,3.1.0,59.487918406586395,
L,U,c,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,11.712965509854257,12.202978934743442,12.219721073866822,None,12.219721073866822,None,m,0,0.6676656663184986,12.219721073866822,None,12.908374969731085,None,,,,,,,,,2019_May_27_1810,Probabilistic Learning,3.1.0,59.487918406586395,
U,L,c,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,13.503196627716534,14.003494274918921,14.019731953274459,None,14.019731953274459,None,c,1,0.4173659663647413,14.019731953274459,None,14.453230908489786,None,,,,,,,,,2019_May_27_1810,Probabilistic Learning,3.1.0,59.487918406586395,
U,L,m,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,15.053400464705192,15.553415347123519,15.57041613117326,None,15.57041613117326,None,c,0,0.3001350702252239,15.57041613117326,None,15.886796064442024,None,,,,,,,,,2019_May_27_1810,Probabilistic Learning,3.1.0,59.487918406586395,
U,L,c,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,16.486877866089344,16.986657709814608,17.003226392436773,None,17.003226392436773,None,c,1,0.31784250983037055,17.003226392436773,None,17.33689911197871,None,,,,,,,,,2019_May_27_1810,Probabilistic Learning,3.1.0,59.487918406586395,
L,U,m,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,17.93682849779725,18.436836195527576,18.453485961304978,None,18.453485961304978,None,m,1,0.3334561554947868,18.453485961304978,None,18.803074079216458,None,,,,,,,,,2019_May_27_1810,Probabilistic Learning,3.1.0,59.487918406586395,
L,U,m,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,19.40346994996071,19.9041853294475,19.9207093649311,None,19.9207093649311,None,m,1,0.33356802980415523,19.9207093649311,None,20.270519178709947,None,,,,,,,,,2019_May_27_1810,Probabilistic Learning,3.1.0,59.487918406586395,
U,L,c,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,20.872070228331722,21.370403917389922,21.387108593946323,None,21.387108593946323,None,c,1,0.35032351163681597,21.387108593946323,None,21.7538114230847,None,,,,,,,,,2019_May_27_1810,Probabilistic Learning,3.1.0,59.487918406586395,
L,U,m,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,22.35389322473202,22.853717715479434,22.870315649663098,None,22.870315649663098,None,m,1,0.3002428390318528,22.870315649663098,None,23.187074313289486,None,,,,,,,,,2019_May_27_1810,Probabilistic Learning,3.1.0,59.487918406586395,
U,L,c,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,23.788221999653615,24.287072465755045,24.303812038851902,None,24.303812038851902,None,c,1,0.21726291894447058,24.303812038851902,None,24.537522528786212,None,,,,,,,,,2019_May_27_1810,Probabilistic Learning,3.1.0,59.487918406586395,
U,L,c,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,25.137372370925732,25.637778300093487,25.653989806072786,None,25.653989806072786,None,c,1,0.3167129901703447,25.653989806072786,None,25.988198803621344,None,,,,,,,,,2019_May_27_1810,Probabilistic Learning,3.1.0,59.487918406586395,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.587277329177596,None,space,0.7837875703116879,26.587277329177596,None,,,2019_May_27_1810,Probabilistic Learning,3.1.0,59.487918406586395,
