letter10,letter20,corrAns0,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterset,letterset2,letterset3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,question,learnt_letters,numbers,text.started,text.stopped,welc_resp.keys,welc_resp.rt,welc_resp.started,welc_resp.stopped,instr1.started,instr1.stopped,intr0_resp.keys,intr0_resp.rt,intr0_resp.started,intr0_resp.stopped,fixation0.started,fixation0.stopped,letter0_1.started,letter0_1.stopped,letter0_2.started,letter0_2.stopped,prep_resp.keys,prep_resp.corr,prep_resp.rt,prep_resp.started,prep_resp.stopped,prep_feedb.started,prep_feedb.stopped,prep_outro.started,prep_outro.stopped,outro_resp.keys,outro_resp.rt,outro_resp.started,outro_resp.stopped,participant,,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,11.43506878730841,None,space,0.5765425307909027,11.43506878730841,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1814,Probabilistic Learning,3.1.0,59.93086138996926,
,,,,,,,,,,,,,,,,,,,,,,,,,,,12.028092759195715,None,space,0.31779683637432754,12.028092759195715,None,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1814,Probabilistic Learning,3.1.0,59.93086138996926,
U,L,c,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,12.455672128358856,12.945532624144107,12.961568620987236,None,12.961568620987236,None,c,1,0.48491698724683374,12.961568620987236,None,13.464466062025167,None,,,,,,,,,2019_May_27_1814,Probabilistic Learning,3.1.0,59.93086138996926,
U,L,c,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.06154008791782,14.561554970336147,14.578054886078462,None,14.578054886078462,None,c,1,0.18577441631350666,14.578054886078462,None,14.779222791898064,None,,,,,,,,,2019_May_27_1814,Probabilistic Learning,3.1.0,59.93086138996926,
L,U,m,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,15.378147875191644,15.878259749501012,15.895155843929388,None,15.895155843929388,None,c,0,0.15019223897252232,15.895155843929388,None,16.06156369438395,None,,,,,,,,,2019_May_27_1814,Probabilistic Learning,3.1.0,59.93086138996926,
U,L,c,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,16.66164549603127,17.161633692798205,17.178472823812626,None,17.178472823812626,None,c,1,0.2179274931550026,17.178472823812626,None,17.411310899653472,None,,,,,,,,,2019_May_27_1814,Probabilistic Learning,3.1.0,59.93086138996926,
U,L,m,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,18.011789393029176,18.511765786563046,18.52854025620036,None,18.52854025620036,None,c,0,0.23395835817791522,18.52854025620036,None,18.778080442687497,None,,,,,,,,,2019_May_27_1814,Probabilistic Learning,3.1.0,59.93086138996926,
U,L,c,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3784183235839,19.878386506112292,19.895046535530128,None,19.895046535530128,None,c,1,0.13386629289016128,19.895046535530128,None,20.04501399968285,None,,,,,,,,,2019_May_27_1814,Probabilistic Learning,3.1.0,59.93086138996926,
L,U,m,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,20.645201004226692,21.145186634967104,21.1617825163994,None,21.1617825163994,None,c,0,0.20062957506161183,21.1617825163994,None,21.378501459490508,None,,,,,,,,,2019_May_27_1814,Probabilistic Learning,3.1.0,59.93086138996926,
U,L,c,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,21.978487808723003,22.47855760192033,22.4953279660549,None,22.4953279660549,None,c,1,0.18355181312654167,22.4953279660549,None,22.695225226460025,None,,,,,,,,,2019_May_27_1814,Probabilistic Learning,3.1.0,59.93086138996926,
L,U,c,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,23.29508995101787,23.795289066736586,23.812051219982095,None,23.812051219982095,None,c,1,0.13457089534495026,23.812051219982095,None,23.96197301056236,None,,,,,,,,,2019_May_27_1814,Probabilistic Learning,3.1.0,59.93086138996926,
L,U,m,0,9,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,24.56211023614742,25.06203223206103,25.07870303839445,None,25.07870303839445,None,c,0,0.18392900400795043,25.07870303839445,None,25.278685487573966,None,,,,,,,,,2019_May_27_1814,Probabilistic Learning,3.1.0,59.93086138996926,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.878864281112328,None,space,0.8842316803056747,25.878864281112328,None,,,2019_May_27_1814,Probabilistic Learning,3.1.0,59.93086138996926,
