letter10,letter20,corrAns0,letterset,letterset2,letterset3,question,learnt_letters,numbers,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,welc_resp.keys,welc_resp.rt,welc_resp.started,welc_resp.stopped,instr1.started,instr1.stopped,intr0_resp.keys,intr0_resp.rt,intr0_resp.started,intr0_resp.stopped,fixation0.started,fixation0.stopped,letter0_1.started,letter0_1.stopped,letter0_2.started,letter0_2.stopped,prep_resp.keys,prep_resp.corr,prep_resp.rt,prep_resp.started,prep_resp.stopped,prep_feedb.started,prep_feedb.stopped,prep_outro.started,prep_outro.stopped,outro_resp.keys,outro_resp.rt,outro_resp.started,outro_resp.stopped,quest.started,quest.stopped,letter_string.started,letter_string.stopped,number_string.started,number_string.stopped,learnt_resp.keys,learnt_resp.rt,learnt_resp.started,learnt_resp.stopped,participant,,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,11.501711984281428,None,space,0.6693365958053619,11.501711984281428,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1814,Probabilistic Learning,3.1.0,60.00024631720573,
,,,,,,,,,,,,,,,,,,,,,,,,,,,12.186567799886689,None,space,0.4167121690697968,12.186567799886689,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1814,Probabilistic Learning,3.1.0,60.00024631720573,
L,U,c,,,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,12.679645450902171,13.169923679204658,13.186302996589802,None,13.186302996589802,None,c,1,0.5842633951688185,13.186302996589802,None,13.789289937005378,None,,,,,,,,,,,,,,,,,,,2019_May_27_1814,Probabilistic Learning,3.1.0,60.00024631720573,
L,U,m,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,14.386517405160703,14.886556920362636,14.903328310931101,None,14.903328310931101,None,c,0,0.11794217023998499,14.903328310931101,None,15.036563899717294,None,,,,,,,,,,,,,,,,,,,2019_May_27_1814,Probabilistic Learning,3.1.0,60.00024631720573,
L,U,m,,,,,,,0,2,2,7,,,,,,,,,,,,,,,,,,,,,15.636613883893006,16.13666109694168,16.15330521762371,None,16.15330521762371,None,c,0,0.10095472889952362,16.15330521762371,None,16.26995262282435,None,,,,,,,,,,,,,,,,,,,2019_May_27_1814,Probabilistic Learning,3.1.0,60.00024631720573,
U,L,c,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,16.870042635360733,17.370048793614842,17.386719086789526,None,17.386719086789526,None,c,1,0.05073139094747603,17.386719086789526,None,17.453747685533017,None,,,,,,,,,,,,,,,,,,,2019_May_27_1814,Probabilistic Learning,3.1.0,60.00024631720573,
U,L,m,,,,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,18.053422018536367,18.553357357159257,18.57008512702305,None,18.57008512702305,None,c,0,0.15017427748534828,18.57008512702305,None,18.73733819287736,None,,,,,,,,,,,,,,,,,,,2019_May_27_1814,Probabilistic Learning,3.1.0,60.00024631720573,
U,L,c,,,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,19.336728734662756,19.836727195070125,19.85354682500474,None,19.85354682500474,None,c,1,0.1185179635649547,19.85354682500474,None,19.986704922863282,None,,,,,,,,,,,,,,,,,,,2019_May_27_1814,Probabilistic Learning,3.1.0,60.00024631720573,
L,U,m,,,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,20.588263670215383,21.088004511897452,21.10404102189932,None,21.10404102189932,None,c,0,0.1165575977647677,21.10404102189932,None,21.23637237912044,None,,,,,,,,,,,,,,,,,,,2019_May_27_1814,Probabilistic Learning,3.1.0,60.00024631720573,
U,L,c,,,,,,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,21.836779026780277,22.336896032909863,22.353559141396545,None,22.353559141396545,None,c,1,0.0670835095224902,22.353559141396545,None,22.437352459412068,None,,,,,,,,,,,,,,,,,,,2019_May_27_1814,Probabilistic Learning,3.1.0,60.00024631720573,
U,L,c,,,,,,,0,8,8,5,,,,,,,,,,,,,,,,,,,,,23.037386021693237,23.53700575174298,23.553648846107535,None,23.553648846107535,None,c,1,0.08346180059015751,23.553648846107535,None,23.653891787747853,None,,,,,,,,,,,,,,,,,,,2019_May_27_1814,Probabilistic Learning,3.1.0,60.00024631720573,
U,L,c,,,,,,,0,9,9,0,,,,,,,,,,,,,,,,,,,,,24.253716997103766,24.753759078215808,24.770399606670253,None,24.770399606670253,None,c,1,0.18362263275776058,24.770399606670253,None,24.970410794136114,None,,,,,,,,,,,,,,,,,,,2019_May_27_1814,Probabilistic Learning,3.1.0,60.00024631720573,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.570489003439434,None,space,0.7335765486350283,25.570489003439434,None,,,,,,,,,,,,,2019_May_27_1814,Probabilistic Learning,3.1.0,60.00024631720573,
,,,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,Most Probable,a O I L d A,1   2   3  4  5   6,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.38567321631126,None,26.38567321631126,None,26.38567321631126,None,1,17.252656757365912,26.38567321631126,None,,,2019_May_27_1814,Probabilistic Learning,3.1.0,60.00024631720573,
,,,hiragana1.xlsx,hiragana11.xlsx,hiragana12.xlsx,Least Probable,a O I L d A,1   2   3  4  5   6,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.65942443255335,None,43.65942443255335,None,43.65942443255335,None,6,3.9955234894296154,43.65942443255335,None,,,2019_May_27_1814,Probabilistic Learning,3.1.0,60.00024631720573,
