letter10,letter20,corrAns0,letterset,letterset2,letterset3,question,learnt_letters,numbers,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,welc_resp.keys,welc_resp.rt,welc_resp.started,welc_resp.stopped,instr1.started,instr1.stopped,intr0_resp.keys,intr0_resp.rt,intr0_resp.started,intr0_resp.stopped,fixation0.started,fixation0.stopped,letter0_1.started,letter0_1.stopped,letter0_2.started,letter0_2.stopped,prep_resp.keys,prep_resp.corr,prep_resp.rt,prep_resp.started,prep_resp.stopped,prep_feedb.started,prep_feedb.stopped,prep_outro.started,prep_outro.stopped,outro_resp.keys,outro_resp.rt,outro_resp.started,outro_resp.stopped,quest.started,quest.stopped,letter_string.started,letter_string.stopped,number_string.started,number_string.stopped,learnt_resp.keys,learnt_resp.rt,learnt_resp.started,learnt_resp.stopped,participant,,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,10.981022941414267,None,space,0.7516396252904087,10.981022941414267,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1817,Probabilistic Learning,3.1.0,59.69951349203328,
,,,,,,,,,,,,,,,,,,,,,,,,,,,11.748874072683975,None,space,0.5844866305124015,11.748874072683975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1817,Probabilistic Learning,3.1.0,59.69951349203328,
U,L,m,,,,,,,0,0,0,9,,,,,,,,,,,,,,,,,,,,,12.4326527134981,12.932135423296131,12.932135423296131,None,12.932135423296131,None,c,0,0.7337561633903533,12.932135423296131,None,13.684040365042165,None,,,,,,,,,,,,,,,,,,,2019_May_27_1817,Probabilistic Learning,3.1.0,59.69951349203328,
U,L,c,,,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,14.282250068848953,14.782465093187056,14.79965062381234,None,14.79965062381234,None,c,1,0.20001324021723121,14.79965062381234,None,15.015815327409655,None,,,,,,,,,,,,,,,,,,,2019_May_27_1817,Probabilistic Learning,3.1.0,59.69951349203328,
U,L,c,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,15.615660550887696,16.11570468475111,16.13228876295034,None,16.13228876295034,None,c,1,0.15051862446125597,16.13228876295034,None,16.300389609881677,None,,,,,,,,,,,,,,,,,,,2019_May_27_1817,Probabilistic Learning,3.1.0,59.69951349203328,
L,U,m,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,16.899340865551494,17.399131486192346,17.41605683218222,None,17.41605683218222,None,c,0,0.15071004233323038,17.41605683218222,None,17.582366664428264,None,,,,,,,,,,,,,,,,,,,2019_May_27_1817,Probabilistic Learning,3.1.0,59.69951349203328,
L,U,c,,,,,,,0,4,4,8,,,,,,,,,,,,,,,,,,,,,18.182543405215256,18.682583946851082,18.699297860614024,None,18.699297860614024,None,c,1,0.06676892726682127,18.699297860614024,None,18.78240864293184,None,,,,,,,,,,,,,,,,,,,2019_May_27_1817,Probabilistic Learning,3.1.0,59.69951349203328,
L,U,m,,,,,,,0,5,5,7,,,,,,,,,,,,,,,,,,,,,19.382735233637504,19.882572554051876,19.89925259782467,None,19.89925259782467,None,c,0,0.0502838937100023,19.89925259782467,None,19.965618674992584,None,,,,,,,,,,,,,,,,,,,2019_May_27_1817,Probabilistic Learning,3.1.0,59.69951349203328,
U,L,c,,,,,,,0,6,6,0,,,,,,,,,,,,,,,,,,,,,20.566186975804158,21.06602583581116,21.08257501735352,None,21.08257501735352,None,c,1,0.050742680905386806,21.08257501735352,None,21.149479938670993,None,,,,,,,,,,,,,,,,,,,2019_May_27_1817,Probabilistic Learning,3.1.0,59.69951349203328,
U,L,c,,,,,,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,21.74958842585329,22.24944216827862,22.26601187721826,None,22.26601187721826,None,c,1,0.05046607437543571,22.26601187721826,None,22.332621717243455,None,,,,,,,,,,,,,,,,,,,2019_May_27_1817,Probabilistic Learning,3.1.0,59.69951349203328,
