letter10,letter20,corrAns0,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterset,letterset2,letterset3,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,question,learnt_letters,numbers,text.started,text.stopped,welc_resp.keys,welc_resp.rt,welc_resp.started,welc_resp.stopped,instr1.started,instr1.stopped,intr0_resp.keys,intr0_resp.rt,intr0_resp.started,intr0_resp.stopped,fixation0.started,fixation0.stopped,letter0_1.started,letter0_1.stopped,letter0_2.started,letter0_2.stopped,prep_resp.keys,prep_resp.corr,prep_resp.rt,prep_resp.started,prep_resp.stopped,prep_feedb.started,prep_feedb.stopped,prep_outro.started,prep_outro.stopped,outro_resp.keys,outro_resp.rt,outro_resp.started,outro_resp.stopped,participant,,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,11.59187854360789,None,space,0.8971972928848118,11.59187854360789,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1859,Probabilistic Learning,3.1.0,59.989163500132484,
,,,,,,,,,,,,,,,,,,,,,,,,,,,12.504044408909976,None,space,0.6003476313780993,12.504044408909976,None,,,,,,,,,,,,,,,,,,,,,,2019_May_27_1859,Probabilistic Learning,3.1.0,59.989163500132484,
L,U,m,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,13.200892838882282,13.704268054920249,13.704268054920249,None,13.704268054920249,None,m,1,0.4840435467194766,13.704268054920249,None,14.20679446333088,None,,,,,,,,,2019_May_27_1859,Probabilistic Learning,3.1.0,59.989163500132484,
L,U,c,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,14.804261075565591,15.304417083738372,15.320929315988906,None,15.320929315988906,None,m,0,0.1335506842005998,15.320929315988906,None,15.470739232376218,None,,,,,,,,,2019_May_27_1859,Probabilistic Learning,3.1.0,59.989163500132484,
U,L,c,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,16.070902117178775,16.571051453938708,16.587646822212264,None,16.587646822212264,None,m,0,0.135329382494092,16.587646822212264,None,16.737688184832223,None,,,,,,,,,2019_May_27_1859,Probabilistic Learning,3.1.0,59.989163500132484,
U,L,m,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,17.337598582846113,17.8376729945885,17.854379723896272,None,17.854379723896272,None,m,1,0.13379239419009537,17.854379723896272,None,18.004377979086712,None,,,,,,,,,2019_May_27_1859,Probabilistic Learning,3.1.0,59.989163500132484,
U,L,c,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,18.60440794902388,19.10438639530912,19.10438639530912,None,19.10438639530912,None,m,0,0.13423989119473845,19.10438639530912,None,19.25440209871158,None,,,,,,,,,2019_May_27_1859,Probabilistic Learning,3.1.0,59.989163500132484,
L,U,m,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,19.854482874041423,20.3545973142609,20.371130073908716,None,20.371130073908716,None,m,1,0.134685848839581,20.371130073908716,None,20.52119555626996,None,,,,,,,,,2019_May_27_1859,Probabilistic Learning,3.1.0,59.989163500132484,
L,U,m,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,21.121449787984602,21.62131328077521,21.637837316375226,None,21.637837316375226,None,m,1,0.11738741758745164,21.637837316375226,None,21.77105443039909,None,,,,,,,,,2019_May_27_1859,Probabilistic Learning,3.1.0,59.989163500132484,
U,L,c,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.371283002896234,22.87129788531456,22.888063630787656,None,22.888063630787656,None,m,0,0.11654682084918022,22.888063630787656,None,23.02144291123841,None,,,,,,,,,2019_May_27_1859,Probabilistic Learning,3.1.0,59.989163500132484,
U,L,c,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,23.621481092181057,24.121334321447648,24.138119054725394,None,24.138119054725394,None,m,0,0.13361637177877128,24.138119054725394,None,24.288896324345842,None,,,,,,,,,2019_May_27_1859,Probabilistic Learning,3.1.0,59.989163500132484,
U,L,c,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,24.888070815359242,25.38797638937831,25.404699540580623,None,25.404699540580623,None,m,0,0.000559371430426836,25.404699540580623,None,25.421353411860764,None,,,,,,,,,2019_May_27_1859,Probabilistic Learning,3.1.0,59.989163500132484,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.02136028849054,None,space,0.8524147394346073,26.02136028849054,None,,,2019_May_27_1859,Probabilistic Learning,3.1.0,59.989163500132484,
